name,meanLoss,meanPhi,violProb,meanScore,cvarScore
BUS-9,14.870417004835,0.00196479832966493,0.336016096579477,15.0668968378015,19.8484285443702
MID-9-10,15.1290674087006,0.00350866422680189,0.456740442655936,15.4799338313808,20.7653525377302
MID-7-9,14.921333694272,0.00487199050091014,0.450704225352113,15.408532744363,21.4850734039289
BUS-10,15.2933653035654,0.00546249713710267,0.537223340040241,15.8396150172756,21.885448455267
MID-9-14,15.6515301453859,0.00656114396648799,0.670020120724346,16.3076445420347,22.3633146697077
BUS-14,15.8589505584798,0.0106054823628896,0.774647887323944,16.9194987947688,24.6833210852189
BUS-7,14.9566536596188,0.0184039458680646,0.780684104627767,16.7970482464252,25.1722051028202
MID-10-11,15.6848421470564,0.0160051117326881,0.816161616161616,17.2853533203252,25.2517731741458
BUS-11,15.8171529035833,0.0268371308143636,0.887323943661972,18.5008659850197,29.3222662691514
MID-13-14,16.0131217272806,0.0272481084140741,0.84040404040404,18.737932568688,30.225956099997
BUS-4,14.7120109732436,0.0524352952563349,0.998,19.9555404988771,30.5463769620736
BUS-13,15.7696247735486,0.0285179381994823,0.798792756539235,18.6214185934968,30.7914019116359
MID-6-11,15.8399647441425,0.0425023505691356,0.921212121212121,20.0901998010561,32.8354771723965
MID-6-13,15.7555718731372,0.0446963029722943,0.920892494929006,20.2252021703667,33.4162495079463
BUS-6,15.6370251380428,0.0482213868152973,0.939637826961771,20.4591638195725,33.6911228708104
MID-4-5,14.9776118909698,0.102553062794965,1,25.2329181704663,38.0469857234654
MID-4-7,15.1227540177515,0.0651144718240867,0.958,21.6342012001601,38.6547966504181
MID-12-13,16.425371004344,0.0751056438116928,0.973630831643002,23.9359353855133,40.2004760953229
MID-7-8,15.3705466438392,0.106884451913885,0.977867203219316,26.0589918352277,42.6364824872732
MID-6-12,16.1862987774748,0.10053586771051,0.989939637826962,26.2398855485258,43.2415763138672
MID-5-6,15.4956522397641,0.119378472381201,1,27.4334994778842,44.0299979890808
BUS-12,16.4128516748538,0.101366886608243,0.987927565392354,26.5495403356781,44.1762812615802
MID-4-9,15.2878582488726,0.12187492542773,0.991935483870968,27.4753507916456,45.7450641799236
BUS-5,15.218173037366,0.159885378662766,1,31.2067109036426,47.6713916956033
BUS-8,15.6675402084859,0.188974417067862,1,34.5649819152721,55.5581676192642
MID-3-4,15.4275466016675,0.181891267978977,1,33.6166733995652,56.8165040416727
BUS-3,15.1817062577483,0.219706589748656,1,37.1523652326139,58.8163287943853
MID-2-4,15.9854811788667,0.379699142664709,1,53.9553954453376,77.9554698559811
MID-2-3,15.7670753974279,0.389839821748038,1,54.7510575722317,81.1381418940639
MID-2-5,16.2994694304179,0.451942305194803,1,61.4936999498982,88.3987976949285
BUS-2,17.0722137823182,0.621586743838516,1,79.2308881661698,109.051919247267
MID-1-5,17.2962888130321,0.677795389710796,1,85.0758277841117,117.502323180842
MID-1-2,19.7147908979755,0.930711340591286,1,112.785924957104,141.784576904495
